,,,,,,,,1-S01A,1-S01B,1-S01C,1-S01D,1-S02A,1-S02B,1-S02C,1-S02D,1-S03A,1-S03B,1-S03C,1-S03D,1-S04A,1-S04B,1-S04C,1-S04D,1-S05A,1-S05B,1-S05C,1-S05D,1-S06A,1-S06B,1-S06C,1-S06D,1-S07A,1-S07B,1-S07C,1-S07D,1-S08A,1-S08B,1-S08C,1-S08D,1-S09A,1-S09B,1-S09C,1-S09D,1-S10A,1-S10B,1-S10C,1-S10D,1-S11A,1-S11B,1-S11C,1-S11D,2-S12A,2-S12B,2-S12C,2-S13A,2-S13B,2-S13C,2-S13D,2-S14A,2-S14B,2-S14C,2-S14D,2-S15A,2-S15B,2-S15C,2-S15D,2-S15E,2-S15F,2-S16A,2-S16B,2-S16C,2-S16D,2-S17A,2-S17B,2-S17C,2-S17D,2-S18A,2-S18B,2-S18C,2-S18D,2-S19A,2-S19B,2-S19C,3-S01a,3-S01b,3-S01c,3-S01d,3-S02a,3-S02b,3-S02c,3-S02d,3-S03a,3-S03b,3-S03c,3-S03d,3-S04a,3-S04b,3-S04c,3-S04d,3-S05a,3-S05b,3-S05c,3-S05d,3-S06a,3-S06b,3-S06c,3-S06d,3-S07a,3-S07b,3-S07c,3-S07d,3-S08a,3-S08b,3-S08c,3-S08d,3-S09a,3-S09b,3-S09c,3-S09d,3-S10a,3-S10b,3-S10c,3-S10d,3-S11a,3-S11b,3-S11c,3-S11d,3-S12a,3-S12b,3-S12c,3-S12d,3-S13a,3-S13b,3-S13c,3-S13d,3-S14a,3-S14b,3-S14c,3-S14d,3-S14e,3-S14f,3-S14g,3-S14h,3-S15a,3-S15b,3-S15c,3-S15d,3-S16a,3-S16b,3-S16c,3-S16d,3-S17A,3-S17b,3-S17c,3-S17d,3-S18a,3-S18b,3-S18c,3-S18d,3-S19a,3-S19b,3-S19c,3-S19d,3-S20a,3-S20b,3-S20c,3-S20d,3-S21a,3-S21b,3-S21c,3-S21d
OTU371,MiSeq18,Actinopterygii,Characiformes,Characidae,Compsura,Compsura heterura,100,4864,1398,6238,4319,20593,13261,9474,18269,8517,38057,32422,15342,904,0,418,483,2922,2273,1399,2186,0,3102,1330,2998,1832,4417,1828,4065,17225,25646,37071,31379,11331,9207,31992,1551,0,0,0,0,2282,964,3156,3077,0,0,0,0,0,0,0,0,0,0,1017,0,0,0,37,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0,467,1262,0,0,0,0,0,0,0,0,0,0,0,0,85,0,101,0,0,0,0,0,0,0,0,133,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,87,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,151,0,0,0
OTU143,MiSeq18,Actinopterygii,Characiformes,Characidae,Creagrutus,Creagrutus barrigai,99.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,0,0,0,0,107,228,0,251,0,0,427,0,0,0,607,209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,556,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU259,MiSeq27,Actinopterygii,Characiformes,Characidae,Creagrutus,Creagrutus melanzonus,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,194,35,0,0,83,333,0,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,0,0,0,0
OTU1144,MiSeq23,Actinopterygii,Characiformes,Characidae,Creagrutus,,,0,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1988,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU388,MiSeq18,Actinopterygii,Characiformes,Characidae,Ctenobrycon,Ctenobrycon hauxwellianus,100,976,1235,0,504,441,216,166,0,1973,4222,1565,4807,933,843,0,1433,0,0,0,0,0,300,0,290,0,0,0,0,0,57,78,0,0,0,277,0,0,224,0,0,159,1622,1425,1406,0,0,0,0,647,0,0,23,0,52,0,0,0,553,0,0,0,0,0,0,0,0,0,0,0,0,91,60,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,187,0,91,0,0,0,0,0,49,53,27,0,0,0,0,1644,0,0,0,0,0,0,0,0,0,0,0,112,0,149,0,280,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU160,MiSeq27,Actinopterygii,Characiformes,Characidae,Hemibrycon,Hemibrycon huambonicus,99.065,0,0,0,0,0,0,0,0,0,0,0,0,0,598,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,147,31,179,273,34,125,24,0,70,568,297,313,397,112,109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU10,MiSeq18,Actinopterygii,Characiformes,Characidae,Hyphessobrycon,Hyphessobrycon herbertaxelrodi,100,0,0,0,0,0,0,0,0,0,0,0,0,0,273,0,147,152,0,0,174,0,0,129,0,0,418,48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,0,99,0,0,70,0,0,0,0,0,0,0,0,0,0,225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113,0,0,56,0,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,26,0,186,0,0,0,0,0
OTU1514,MiSeq27,Actinopterygii,Characiformes,Characidae,Moenkhausia,Moenkhausia ceros,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,45,0,381,0,0,0,0,0
OTU1679,Combined,Actinopterygii,Characiformes,Characidae,Paracheirodon,Paracheirodon innesi,99.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,395,0,0,320,0,0,0
OTU1335,MiSeq27,Actinopterygii,Characiformes,Characidae,Poptella,Poptella compressa,99.01,226,0,0,0,0,0,0,0,1090,390,342,238,0,450,0,0,0,60,0,93,0,0,0,0,0,0,432,0,0,94,0,0,0,0,0,0,0,152,256,551,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1564,0,0,137,0,0,0,0,0,81,103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,0,90,0,0,54,0,0,0,0,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154,875,1583,0,0,0,0,171,147,0,0,141,0,127,0,0
OTU1040,MiSeq18,Actinopterygii,Characiformes,Characidae,Scopaeocharax,,,0,0,0,0,0,0,0,0,0,0,0,0,0,2114,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114,68,26,76,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU29,MiSeq18,Actinopterygii,Characiformes,Characidae,Xenurobrycon,Xenurobrycon heterodon,99.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,116,0,2071,0,1338,285,141,0,1589,200,505,272,613,562,1833,0,0,1582,337,182,2181,2928,0,0,0,490,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,359,233,1135,1396,507,1189,1933,904,1055,2461,2100,3003,1944,1461,1047,1062,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU1579,MiSeq18,Actinopterygii,Characiformes,Characidae,,,,0,0,0,0,254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,628,0,0,0,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU118,MiSeq18,Actinopterygii,Characiformes,Characidae,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1365,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU200,MiSeq18,Actinopterygii,Characiformes,Characidae,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,0,0,0,0,0,0,0,0,140,0,0,0,0,0,0,0,0,204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU164,MiSeq18,Actinopterygii,Characiformes,Characidae,,,,0,0,0,0,0,0,69,0,0,0,0,0,0,0,0,0,280,0,0,0,0,0,0,0,0,0,134,440,41,51,0,57,0,0,140,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,170,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158
OTU1214,MiSeq18,Actinopterygii,Characiformes,Characidae,,,,0,0,0,0,521,3836,501,2339,450,5117,2385,169,0,0,307,0,0,0,66,99,0,79,0,198,0,0,0,0,45,119,63,97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU391,MiSeq18,Actinopterygii,Characiformes,Characidae,,,,0,1081,301,869,9244,6491,4822,6851,318,244,286,190,0,0,104,0,849,579,214,159,0,361,0,443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635,0,471,0,0,0,0,0,0,0,30,0,664,0,0,0,0,0,402,0,0,0,0,157,0,0,64,105,119,123,106,192,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122,202,470,151,521,463,94,308,0,70,57,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,178,154,0,0,0,130,0,0,0,0,877,0,118,0,0,0,0,841,0,0,0,0,674,0,120,0,160,0,258,547,0,0,0,0
OTU237,MiSeq18,Actinopterygii,Characiformes,Characidae,,,,0,0,0,0,0,0,0,0,0,357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
